Artist,Total Views,100M,Avg
Mamamoo,"2,494.4",4,0.615
Turma do Pagode,"2,482.8",6,0.649
Ava Max,"2,479.7",5,1.306
David Bisbal,"2,450.6",6,0.470
R. Kelly,"2,449.0",6,0.109
Felipe Araújo,"2,433.9",6,0.584
Jay Wheeler,"2,433.5",4,1.331
Tarkan,"2,430.8",4,0.678
The Pussycat Dolls,"2,429.5",8,0.700
Dhvani Bhanushali,"2,403.5",2,0.568
Polo G,"2,402.3",5,0.866
Foo Fighters,"2,397.0",6,0.531
Calum Scott,"2,396.7",4,0.695
Lukas Graham,"2,395.4",4,0.444
Trey Songz,"2,390.5",4,0.331
Miyagi,"2,384.7",4,1.486
Mau y Ricky,"2,375.8",3,0.797
Kelly Clarkson,"2,374.7",4,0.452
Selena,"2,362.7",7,0.971
Koray Avcı,"2,353.9",7,0.250
Gera MX,"2,349.8",3,1.064
Carla Morrison,"2,333.7",5,0.901
George Michael,"2,330.8",5,1.041
Sean Kingston,"2,327.0",4,0.724
Muse,"2,326.4",6,0.462
Luke Bryan,"2,321.2",7,0.352
Leningrad,"2,309.3",6,0.328
Super Junior,"2,295.4",7,0.369
De La Ghetto,"2,271.5",3,0.473
YG,"2,265.6",6,0.357
Roddy Ricch,"2,262.9",6,0.659
Avenged Sevenfold,"2,262.8",7,0.556
Carly Rae Jepsen,"2,255.9",2,0.310
Elton John,"2,250.2",6,1.395
iKON,"2,247.1",3,0.324
Alka Yagnik,"2,241.6",6,0.701
J. Cole,"2,241.4",6,0.775
Snoop Dogg,"2,233.7",7,0.536
Rita Ora,"2,229.9",4,0.287
Disturbed,"2,216.7",3,0.639
Desiigner,"2,215.5",4,0.274
Tones and I,"2,212.6",1,0.478
Gotye,"2,205.0",1,0.596
Zé Vaqueiro,"2,203.1",7,0.993
a-ha,"2,202.9",1,0.746
Diego & Victor Hugo,"2,200.2",7,0.640
A Boogie wit da Hoodie,"2,191.1",3,0.666
Logic,"2,184.2",3,0.193
Juanes,"2,177.1",8,0.565
Projota,"2,175.8",5,0.269
Kendji Girac,"2,175.6",8,0.470
2NE1,"2,166.1",2,0.235
Piccolo Coro dell'Antoniano,"2,154.6",3,0.685
Lunay,"2,144.2",6,0.448
Lil Dicky,"2,138.0",4,0.263
Rod Stewart,"2,136.7",4,1.107
Rag'n'Bone Man,"2,131.8",2,0.683
U2,"2,130.8",5,0.708
Megan Thee Stallion,"2,129.4",8,0.605
Hassan Shakosh,"2,121.7",5,0.350
Tove Lo,"2,116.0",3,0.470
K-ICM,"2,115.8",5,0.152
MC Pedrinho,"2,114.4",7,0.210
Sorriso Maroto,"2,095.7",4,0.645
The Script,"2,091.4",5,0.356
Danna Paola,"2,090.3",4,0.581
Mike Posner,"2,080.0",2,0.331
Ke$ha,"2,078.3",6,0.239
Silentó,"2,059.3",1,0.128
MC Fioti,"2,058.8",1,0.218
Himesh Reshammiya,"2,052.2",3,1.310
Amy Winehouse,"2,049.1",4,0.684
MC Kekel,"2,048.2",6,0.101
ITZY,"2,035.1",7,1.013
Tory Lanez,"2,033.1",2,0.549
Shreya Ghoshal,"2,032.5",5,0.670
Michel Teló,"2,028.0",2,0.264
Kane Brown,"2,027.9",3,0.570
Capital Bra,"2,015.6",2,0.287
Tierry,"2,015.5",3,0.847
Zack Knight,"2,014.3",3,0.537
Andrea Bocelli,"2,013.5",4,0.688
Nelly Furtado,"2,011.5",4,0.658
Pabllo Vittar,"1,999.1",5,0.253
Andra,"1,998.5",4,0.198
MC Davo,"1,996.0",5,0.573
Olivia Rodrigo,"1,995.7",5,0.973
Joey Montana,"1,989.9",2,0.166
Lorde,"1,989.8",4,0.205
Eduardo Costa,"1,985.2",4,0.541
AKB48,"1,984.4",2,0.202
Skillet,"1,983.4",4,0.546
Indila,"1,982.0",4,0.877
Darshan Raval,"1,973.4",4,0.537
Lucas Lucco,"1,972.6",7,0.392
YOUNGOHM,"1,969.0",7,0.773
The Killers,"1,962.1",6,0.390
blink-182,"1,962.0",5,0.450
Big Sean,"1,959.9",5,0.159
Lartiste,"1,954.5",3,0.262
Cocktail,"1,947.4",7,0.378
JoJo Siwa,"1,941.6",4,0.212
Jason Mraz,"1,934.7",5,0.340
Jessi Uribe,"1,932.0",5,0.996
Kid Ink,"1,930.9",3,0.206
Cyndi Lauper,"1,930.7",3,0.536
Timati,"1,928.6",2,0.542
Hala Al Turk,"1,923.4",6,0.242
Laura Pausini,"1,922.2",2,0.408
Shania Twain,"1,919.2",6,0.689
Luciano Pereyra,"1,912.0",3,0.572
Michael Bublé,"1,909.6",5,0.325
Timbaland,"1,904.9",6,0.701
Fergie,"1,899.0",6,0.395
Juan Magan,"1,898.2",5,0.242
Mohamed Alsalim,"1,897.8",3,0.535
Banda El Recodo De Cruz Lizárraga,"1,895.6",5,0.380
Natalia Lafourcade,"1,893.9",5,0.793
Depeche Mode,"1,890.8",4,0.627
Balti,"1,890.4",3,0.652
Imran Khan,"1,888.6",4,0.891
Alvaro Soler,"1,886.6",4,0.312
Lewis Capaldi,"1,880.3",4,0.999
Sabyan,"1,878.8",6,0.147
Alemán,"1,875.1",3,1.049
Sin Bandera,"1,866.7",6,0.496
B Praak,"1,863.1",3,0.233
Remmy Valenzuela,"1,862.4",6,0.442
Ceca,"1,861.6",,0.352
MC Kevin,"1,853.6",4,0.625
OMI,"1,853.5",3,0.276
Florida Georgia Line,"1,852.1",5,0.206
Canserbero,"1,851.4",4,0.995
Hozier,"1,840.0",2,0.551
Lil Tjay,"1,835.7",3,0.723
Ricardo Montaner,"1,829.6",3,0.464
Radiohead,"1,828.1",2,0.791
Cristiano Araújo,"1,826.9",6,0.213
Galantis,"1,825.8",4,0.172
Niska,"1,825.0",4,0.432
Paula Fernandes,"1,822.8",3,0.443
Jason Aldean,"1,819.9",3,0.469
Palak Muchhal,"1,811.4",3,0.472
Chris Jeday,"1,803.9",3,0.691
Roxette,"1,801.6",3,0.516
Black M,"1,798.1",6,0.154
(G)I-DLE,"1,797.7",7,1.660
IU,"1,792.6",6,0.392
Arash,"1,790.6",4,0.570
Via Vallen,"1,787.5",3,0.084
Hailee Steinfeld,"1,782.2",6,0.261
Three Days Grace,"1,780.4",4,0.423
Soulja Boy Tell'em,"1,780.1",2,0.196
PNL,"1,775.6",6,0.338
Alok,"1,773.2",2,0.639
Maria Becerra,"1,766.2",6,2.345
The Game,"1,764.7",5,0.380
Abraham Mateo,"1,760.9",3,0.408
Bryson Tiller,"1,760.7",4,0.457
Blake Shelton,"1,760.6",3,0.332
AronChupa,"1,758.0",3,0.228
Eros Ramazzotti,"1,757.6",4,0.632
James Blunt,"1,757.1",2,0.429
Naughty Boy,"1,751.2",2,0.214
Marcos & Belutti,"1,745.3",4,0.265
SHINee,"1,735.6",2,0.270
R.E.M.,"1,734.9",2,0.571
2 Chainz,"1,728.7",5,0.278
Vremya i Steklo,"1,721.8",5,0.138
Lata Mangeshkar,"1,720.7",6,0.449
İrem Derici,"1,717.3",3,0.319
Scorpions,"1,715.3",2,0.444
Raymix,"1,712.5",3,0.379
ONE OK ROCK,"1,711.7",3,0.380
Zouhair Bahaoui,"1,705.7",3,0.489
Raí Saia Rodada,"1,702.9",4,0.485
Rick Astley,"1,697.5",2,0.504
My Chemical Romance,"1,689.8",7,0.511
Rick Ross,"1,687.2",3,0.342
B.o.B,"1,687.1",2,0.300
Korn,"1,686.0",3,0.492
Lil Skies,"1,683.5",4,0.184
El Komander,"1,679.2",3,0.260
Naps,"1,671.7",5,0.472
Nella Kharisma,"1,671.3",5,0.135
Shaggy,"1,663.3",6,0.425
Noriel,"1,661.3",3,0.404
Bruce Springsteen,"1,653.9",3,0.626
"Earth, Wind & Fire","1,649.2",3,0.563
Foster The People,"1,645.9",3,0.373
3 Doors Down,"1,641.7",3,0.398
Boney M.,"1,637.7",3,1.038
Getsunova,"1,633.9",5,0.181
Mary J. Blige,"1,630.1",4,0.658
Joyner Lucas,"1,620.7",1,0.360
2CELLOS,"1,619.4",1,0.333
Destiny's Child,"1,617.9",7,0.433
Last Child,"1,615.9",4,0.714
Lauv,"1,610.5",4,0.368
Robbie Williams,"1,605.3",4,0.277
Jonas Brothers,"1,597.6",3,0.199
Lauana Prado,"1,595.8",3,0.613
Toni Braxton,"1,595.0",3,0.577
Sofia Reyes,"1,590.3",3,0.514
Wham!,"1,580.5",2,0.311
Jeremih,"1,580.0",6,0.294
J Alvarez,"1,579.4",2,0.393
Ella Mai,"1,579.3",4,0.441
Burna Boy,"1,578.5",3,1.589
Marilyn Manson,"1,576.3",3,0.356
Audioslave,"1,576.1",3,0.488
Afrojack,"1,572.9",3,0.102
Lê Bảo Bình,"1,572.0",4,0.383
Manuel Medrano,"1,566.9",3,0.397
The Notorious B.I.G.,"1,560.1",4,0.793
Israel Kamakawiwo'ole,"1,558.2",2,0.301
T-Pain,"1,552.8",5,0.431
The Police,"1,549.7",3,0.571
JD Pantoja,"1,548.7",4,0.316
MC WM,"1,542.2",5,0.092
Fun.,"1,542.2",3,0.284
Demet Akalın,"1,541.5",2,0.173
Wolfine,"1,534.0",2,0.271
Israel & Rodolffo,"1,527.8",1,1.652
Andy Rivera,"1,527.0",3,0.583
MHD,"1,525.0",5,0.245
Mỹ Tâm,"1,521.7",2,0.274
Die Antwoord,"1,519.3",5,0.206
Reynmen,"1,516.0",3,0.250
Elvis Presley,"1,513.6",1,0.782
Kehlani,"1,512.9",2,0.325
Santana,"1,490.9",3,0.570
Ty Dolla $ign,"1,487.9",1,0.231
No Doubt,"1,486.7",2,0.394
Renuka Panwar,"1,483.5",1,0.313
4 Non Blondes,"1,479.9",1,0.563
Alexandra Stan,"1,476.0",5,0.236
Kany García,"1,474.9",4,0.918
Kid Rock,"1,467.8",2,0.455
Carrie Underwood,"1,460.8",1,0.234
Toto,"1,456.7",3,0.649
Mannat Noor,"1,452.8",1,0.221
Rombai,"1,443.9",4,0.197
Tom Odell,"1,443.3",2,1.086
Fernandinho,"1,437.4",2,0.821
4Minute,"1,428.6",4,0.126
Abel Pintos,"1,428.1",1,0.354
SISTAR,"1,425.7",4,0.162
Buray,"1,423.8",7,0.354
Thiaguinho,"1,423.4",2,0.618
R3HAB,"1,422.5",2,0.222
Grupo Revelação,"1,420.6",2,0.538
Mano Walter,"1,420.1",3,0.142
Europe,"1,417.6",2,0.371
Yo Gotti,"1,414.7",4,0.237
Bé Bảo An,"1,411.3",4,0.384
Tainy,"1,410.0",3,0.400
Alessia Cara,"1,409.4",4,0.207
Troye Sivan,"1,409.0",2,0.201
Jenni Rivera,"1,408.3",2,0.023
Willy William,"1,406.9",2,0.315
Kids United,"1,406.8",3,0.314
Carla's Dreams,"1,400.8",,0.361
Dwayne Johnson,"1,400.6",1,1.170
L.กฮ.,"1,397.4",5,0.450
C. Tangana,"1,396.9",3,0.364
Sunidhi Chauhan,"1,394.4",3,0.216
Ñengo Flow,"1,388.8",4,0.825
Radwimps,"1,386.7",3,0.483
Damas Gratis,"1,384.5",4,0.756
G.E.M.,"1,381.6",4,0.234
Milky Chance,"1,380.1",3,0.412
The Kid LAROI,"1,379.9",2,0.775
Banda Carnaval,"1,379.8",1,0.248
Hande Yener,"1,378.6",3,0.184
Aqua,"1,377.2",1,0.536
Kong Huayrai,"1,375.9",4,0.432
Sherine,"1,375.5",5,0.580
Hadise,"1,374.1",5,0.232
Owl City,"1,373.3",2,0.223
MC G15,"1,372.3",5,0.080
Kings Of Leon,"1,367.3",2,0.302
J-Ax,"1,365.4",2,0.118
Pang Nakarin,"1,365.0",4,0.168
Akcent (Romania),"1,362.6",1,0.220
Rudimental,"1,361.9",3,0.180
OutKast,"1,361.4",3,0.383
Gigi D'Agostino,"1,360.5",3,0.381
Melim,"1,359.1",2,0.399
Preto no Branco,"1,355.4",2,0.329
Marwa Loud,"1,353.6",5,0.470
Ryan Castro,"1,352.7",5,1.403
Fernando & Sorocaba,"1,342.2",1,0.137
Flume,"1,338.9",3,0.229
Bonnie Tyler,"1,336.0",3,0.469
Natiruts,"1,331.5",3,0.551
Auli'i Cravalho,"1,329.3",2,0.619
MC Lan,"1,328.9",2,0.050
Alejandra Guzmán,"1,328.4",3,0.229
Ylvis,"1,325.5",1,0.145
Armaan Malik,"1,322.7",3,0.354
YFN Lucci,"1,320.2",2,0.312
Sexion D'Assaut,"1,317.4",2,0.158
Rvssian,"1,315.2",3,0.291
Pedro Sampaio,"1,310.9",4,0.575
Sila,"1,304.6",2,0.249
Taio Cruz,"1,300.9",5,0.159
The Lumineers,"1,299.5",4,0.304
Vitor Fernandes,"1,299.4",3,0.528
Gülşen,"1,296.5",4,0.255
Baby Rasta y Gringo,"1,295.6",1,0.287
Mahahing,"1,294.7",4,0.132
